"","SiteID","Species","Reproduction","Water_body","Nutrient_load"
"J12004","M79","CIR","SEX","running","Hypereutr."
"J12005","M79","OLI","NR","running","Hypereutr."
"J12006","M79","OLI","SEX","running","Hypereutr."
"J12007","M79","OLI","SEX","running","Hypereutr."
"J12008","M79","OLI","NR","running","Hypereutr."
"J12009","M79","OLI","NR","running","Hypereutr."
"J12010","M79","OLI","NR","running","Hypereutr."
"J12011","M78","OLI","NR","running","Mesoeutr."
"J12012","M78","OLI","NR","running","Mesoeutr."
"J12013","M109","OLI","ASEX","standing","Hypereutr."
"J12014","M109","OLI","NR","standing","Hypereutr."
"J12015","M109","OLI","NR","standing","Hypereutr."
"J12016","M109","OLI","NR","standing","Hypereutr."
"J12017","M109","OLI","NR","standing","Hypereutr."
"J12018","M109","OLI","SEX","standing","Hypereutr."
"J12019","M109","OLI","ASEX","standing","Hypereutr."
"J12020","M109","OLI","NR","standing","Hypereutr."
"J12021","M109","OLI","ASEX","standing","Hypereutr."
"J12022","M109","OLI","ASEX","standing","Hypereutr."
"J12023","M79","OLI","SEX","running","Hypereutr."
"J12024","M79","OLI","SEX","running","Hypereutr."
"J12025","M79","OLI","SEX","running","Hypereutr."
"J12026","M79","OLI","ASEX","running","Hypereutr."
"J12027","M79","OLI","ASEX","running","Hypereutr."
"J12028","M79","OLI","SEX","running","Hypereutr."
"J12029","M79","VUL","SEX","running","Hypereutr."
"J12030","M44","OLI","ASEX","standing","Hypereutr."
"J12031","M44","OLI","ASEX","standing","Hypereutr."
"J12032","M44","OLI","ASEX","standing","Hypereutr."
"J12033","M44","OLI","ASEX","standing","Hypereutr."
"J12035","M44","OLI","SEX","standing","Hypereutr."
"J12036","M44","OLI","ASEX","standing","Hypereutr."
"J12037","M44","OLI","ASEX","standing","Hypereutr."
"J12038","M44","OLI","ASEX","standing","Hypereutr."
"J12039","M44","OLI","SEX","standing","Hypereutr."
"J12040","M44","OLI","SEX","standing","Hypereutr."
"J12041","M44","OLI","ASEX","standing","Hypereutr."
"J12042","M44","OLI","ASEX","standing","Hypereutr."
"J12043","M44","OLI","SEX","standing","Hypereutr."
"J12044","M44","OLI","ASEX","standing","Hypereutr."
"J12045","M44","OLI","SEX","standing","Hypereutr."
"J12046","M44","OLI","ASEX","standing","Hypereutr."
"J12047","M107","OLI","NR","standing","Eutr."
"J12048","M107","OLI","NR","standing","Eutr."
"J12049","M107","OLI","NR","standing","Eutr."
"J12050","M107","VUL","ASEX","standing","Eutr."
"J12051","M107","OLI","SEX","standing","Eutr."
"J12052","M107","OLI","ASEX","standing","Eutr."
"J12053","M107","OLI","NR","standing","Eutr."
"J12054","M107","OLI","NR","standing","Eutr."
"J12055","M107","OLI","ASEX","standing","Eutr."
"J12056","M107","OLI","ASEX","standing","Eutr."
"J12057","M79","OLI","ASEX","running","Hypereutr."
"J12058","M83","VUL","ASEX","standing","Eutr."
"J12059","M83","VUL","ASEX","standing","Eutr."
"J12060","M108","OLI","SEX","standing","Eutr."
"J12061","M108","OLI","NR","standing","Eutr."
"J12062","M108","OLI","SEX","standing","Eutr."
"J12063","M108","OLI","SEX","standing","Eutr."
"J12064","M108","OLI","SEX","standing","Eutr."
"J12065","M108","OLI","ASEX","standing","Eutr."
"J12066","M108","OLI","ASEX","standing","Eutr."
"J12067","M108","OLI","SEX","standing","Eutr."
"J12068","M108","OLI","NR","standing","Eutr."
"J12069","M108","OLI","ASEX","standing","Eutr."
"J12070","M108","OLI","SEX","standing","Eutr."
"J12071","M83","VUL","SEX","standing","Eutr."
"J12072","M83","OLI","ASEX","standing","Eutr."
"J12074","M83","OLI","ASEX","standing","Eutr."
"J12075","M83","OLI","ASEX","standing","Eutr."
"J12076","M83","OLI","ASEX","standing","Eutr."
"J12077","M83","OLI","ASEX","standing","Eutr."
"J12078","M83","OLI","ASEX","standing","Eutr."
